,text_raw,text_clean
0,DO ANDROIDS DREAM OF ELECTRIC SHEEP?,do android dream of electric sheep
1,A merry little surge of electricity piped by automatic alarm from the mood organ beside his bed awakened Rick Deckard.,a merry little surge of electricity pipe by automatic alarm from the mood organ beside his bed awaken rick deckard
2,"Surprised - it always surprised him to find himself awake without prior notice - he rose from the bed, stood up in his multicolored pajamas, and stretched.",surprise it always surprise him to find himself awake without prior notice he rise from the bed stand up in his multicolored pajama and stretch
3,"Now, in her bed, his wife Iran opened her gray, unmerry eyes, blinked, then groaned and shut her eyes again.",now in her bed his wife iran open her gray unmerry eye blink then groan and shut her eye again
4,"""You set your Penfield too weak he said to her.",you set your penfield too weak he say to her
5,"""I'll reset it and you'll be awake and - """,i will reset it and you will be awake and
6,"""Keep your hand off my settings.""",keep your hand off my setting
7,Her voice held bitter sharpness.,her voice hold bitter sharpness
8,"""I don't want to be awake.""",i do not want to be awake
9,"He seated himself beside her, bent over her, and explained softly.",he seat himself beside her bend over her and explain softly
10,"""If you set the surge up high enough, you'll be glad you're awake; that's the whole point.",if you set the surge up high enough you will be glad you be awake that be the whole point
11,"At setting C it overcomes the threshold barring consciousness, as it does for me.""",at set c it overcome the threshold bar consciousness a it doe for me
12,"Friendlily, because he felt well-disposed toward the world his setting had been at D - he patted her bare, pate shoulder.",friendlily because he feel good dispose toward the world his set have be at have he pat her bare pate shoulder
13,"""Get your crude cop's hand away,"" Iran said.",get your crude cop s hand away iran say
14,"""I'm not a cop - """,i be not a cop
15,"He felt irritable, now, although he hadn't dialed for it.",he feel irritable now although he have not dial for it
16,"""You're worse,"" his wife said, her eyes still shut.",you be wrong his wife say her eye still shut
17,"""You're a murderer hired by the cops.",you be a murderer hire by the cop
18,"""I've never killed a human being in my life.""",i have never kill a human be in my life
19,"His irritability had risen, now; had become outright hostility.",his irritability have rise now have become outright hostility
20,"Iran said, ""Just those poor andys.""",iran say just that poor andys
21,"""I notice you've never had any hesitation as to spending the bounty money I bring home on whatever momentarily attracts your attention.""",i notice you have never have any hesitation a to spend the bounty money i bring home on whatever momentarily attract your attention
22,"He rose, strode to the console of his mood organ.",he rise stride to the console of his mood organ
23,"""Instead of saving,"" he said, ""so we could buy a real sheep, to replace that fake electric one upstairs.",instead of save he say so we can buy a real sheep to replace that fake electric one upstairs
24,"A mere electric animal, and me earning all that I've worked my way up to through the years.""",a mere electric animal and me earn all that i have work my way up to through the year
25,At his console he hesitated between dialing for a thalamic suppressant (which would abolish his mood of rage) or a thalamic stimulant (which would make him irked enough to win the argument).,at his console he hesitate between dial for a thalamic suppressant which would abolish his mood of rage or a thalamic stimulant which would make him irk enough to win the argument
26,"""If you dial,"" Iran said, eyes open and watching, ""for greater venom, then I'll dial the same.",if you dial iran say eye open and watch for great venom then i will dial the same
27,I'll dial the maximum and you'll see a fight that makes every argument we've had up to now seem like nothing.,i will dial the maximum and you will see a fight that make every argument we have have up to now seem like nothing
28,"Dial and see; just try me.""",dial and see just try me
29,"She rose swiftly, loped to the console of her own mood organ, stood glaring at him, waiting.",she rise swiftly lope to the console of her own mood organ stand glare at him wait
30,"He sighed, defeated by her threat.",he sigh defeat by her threat
31,"""I'll dial what's on my schedule for today.""",i will dial what be on my schedule for today
32,"Examining the schedule for January 3, 1992, he saw that a businesslike professional attitude was called for.",examine the schedule for january he see that a businesslike professional attitude be call for
33,"""If I dial by schedule,"" he said warily, ""will you agree to also?""",if i dial by schedule he say warily will you agree to also
34,"He waited, canny enough not to commit himself until his wife had agreed to follow suit.",he wait canny enough not to commit himself until his wife have agree to follow suit
35,"""My schedule for today lists a six-hour self-accusatory depression,"" Iran said.",my schedule for today list a six hour self accusatory depression iran say
36,"""What?",what
37,"Why did you schedule that?""",why do you schedule that
38,It defeated the whole purpose of the mood organ.,it defeat the whole purpose of the mood organ
39,"""I didn't even know you could set it for that,"" he said gloomily.",i do not even know you can set it for that he say gloomily
40,"""I was sitting here one afternoon,"" Iran said, ""and naturally I had tamed on Buster Friendly and His Friendly Friends and he was talking about a big news item he's about to break and then that awful commercial came on, the one I hate; you know, for Mountibank Lead Codpieces.",i be sit here one afternoon iran say and naturally i have tame on buster friendly and his friendly friend and he be talk about a big news item he be about to break and then that awful commercial come on the one i hate you know for mountibank lead codpiece
41,And so for a minute I shut off the sound.,and so for a minute i shut off the sound
42,"And I heard the building, this building; I heard the - "" She gestured.",and i hear the build this build i hear the she gesture
43,"""Empty apartments,"" Rick said.",empty apartment rick say
44,Sometimes he heard them at night when he was supposed to be asleep.,sometimes he hear them at night when he be suppose to be asleep
45,"And yet, for this day and age a one-half occupied conapt building rated high in the scheme of population density; out in what had been before the war the suburbs one could find buildings entirely empty .",and yet for this day and age a one half occupy conapt build rate high in the scheme of population density out in what have be before the war the suburb one can find building entirely empty
46,. . or so he had heard.,or so he have hear
47,He had let the information remain secondhand; like most people he did not care to experience it directly.,he have let the information remain secondhand like much people he do not care to experience it directly
48,"""At that moment,"" Iran said, ""when I had the TV sound off, I was in a 382 mood; I had just dialed it.",at that moment iran say when i have the tv sound off i be in a mood i have just dial it
49,"So although I heard the emptiness intellectually, I didn't feel it.",so although i hear the emptiness intellectually i do not feel it
50,My first reaction consisted of being grateful that we could afford a Penfield mood organ.,my ﻿1 reaction consist of be grateful that we can afford a penfield mood organ
51,"But then I read how unhealthy it was, sensing the absence of life, not just in this building but everywhere, and not reacting - do you see?",but then i read how unhealthy it be sense the absence of life not just in this build but everywhere and not react do you see
52,I guess you don't.,i guess you do not
53,But that used to be considered a sign of mental illness; they called it 'absence of appropriate affect.',but that use to be consider a sign of mental illness they call it absence of appropriate affect
54,So I left the TV sound off and I sat down at my mood organ and I experimented.,so i leave the tv sound off and i sit down at my mood organ and i experiment
55,"And I finally found a setting for despair.""",and i finally find a set for despair
56,"Her dark, pert face showed satisfaction, as if she had achieved something of worth.",her dark pert face show satisfaction a if she have achieve something of worth
57,"""So I put it on my schedule for twice a month; I think that's a reasonable amount of time to feel hopeless about everything, about staying here on Earth after everybody who's small has emigrated, don't you think?""",so i put it on my schedule for twice a month i think that be a reasonable amount of time to feel hopeless about everything about stay here on earth after everybody who be small have emigrate do not you think
58,"""But a mood like that,"" Rick said, ""you're apt to stay in it, not dial your way out.",but a mood like that rick say you be apt to stay in it not dial your way out
59,"Despair like that, about total reality, is self-perpetuating.""",despair like that about total reality be self perpetuate
60,"""I program an automatic resetting for three hours later,"" his wife said sleekly.",i program a automatic reset for three hour late his wife say sleekly
61,"""A 481.",a
62,"Awareness of the manifold possibilities open to me in the future; new hope that - """,awareness of the manifold possibility open to me in the future new hope that
63,"""I know 481,"" he interrupted.",i know he interrupt
64,He had dialed out the combination many times; he relied on it greatly.,he have dial out the combination many time he rely on it greatly
65,"""Listen,"" he said, seating himself on his bed and taking hold of her hands to draw her down beside him, ""even with an automatic cutoff it's dangerous to undergo a depression, any kind.",listen he say seat himself on his bed and take hold of her hand to draw her down beside him even with a automatic cutoff it be dangerous to undergo a depression any kind
66,"Forget what you've scheduled and I'll forget what I've scheduled; we'll dial a 104 together and both experience it, and then you stay in it while I reset mine for my usual businesslike attitude.",forget what you have schedule and i will forget what i have schedule we will dial a together and both experience it and then you stay in it while i reset mine for my usual businesslike attitude
67,"That way I'll want to hop up to the roof and check out the sheep and then head for the office; meanwhile I'll know you're not sitting here brooding with no TV.""",that way i will want to hop up to the roof and check out the sheep and then head for the office meanwhile i will know you be not sit here brood with no tv
68,"He released her slim, long fingers, passed through the spacious apartment to the living room, which smelled faintly of last night's cigarettes.",he release her slim long finger pass through the spacious apartment to the live room which smell faintly of last night s cigarette
69,There he bent to turn on the TV.,there he bend to turn on the tv
70,From the bedroom Iran's voice came.,from the bedroom iran s voice come
71,"""I can't stand TV before breakfast.""",i can not stand tv before breakfast
72,"""Dial 888,"" Rick said as the set warmed.",dial rick say a the set warm
73,"""The desire to watch TV, no matter what's on it.""",the desire to watch tv no matt what be on it
74,"""I don't feel like dialing anything at all now,"" Iran said.",i do not feel like dial anything at all now iran say
75,"""Then dial 3,"" he said.",then dial he say
76,"""I can't dial a setting that stimulates my cerebral cortex into wanting to dial!",i can not dial a set that stimulate my cerebral cortex into want to dial
77,"If I don't want to dial, I don't want to dial that most of all, because then I will want to dial, and wanting to dial is right now the most alien drive I can imagine; I just want to sit here on the bed and stare at the floor.""",if i do not want to dial i do not want to dial that much of all because then i will want to dial and want to dial be right now the much alien drive i can imagine i just want to sit here on the bed and stare at the floor
78,"Her voice had become sharp with overtones of bleakness as her soul congealed and she ceased to move, as the instinctive, omnipresent film of great weight, of an almost absolute inertia, settled over her.",her voice have become sharp with overtone of bleakness a her soul congeal and she cease to move a the instinctive omnipresent film of great weight of a almost absolute inertia settle over her
79,"He turned up the TV sound, and the voice of Buster Friendly boomed out and filled the room.",he turn up the tv sound and the voice of buster friendly boom out and fill the room
80,""" ho ho, folks.",ho ho folk
81,Time now for a brief note on today's weather.,time now for a brief note on today s weather
82,"The Mongoose satellite reports that fallout will be especially pronounced toward noon and will then taper off, so all you folks who'll be venturing out - """,the mongoose satellite report that fallout will be especially pronounce toward noon and will then taper off so all you folk who will be venture out
83,"Appearing beside him, her long nightgown trailing wispily, Iran shut off the TV set.",appear beside him her long nightgown trail wispily iran shut off the tv set
84,"""Okay, I give up; I'll dial.",okay i give up i will dial
