,text_raw,text_clean
0,"But remember, please, the Law by which we live, We are not built to comprehend a lie ... --Rudyard Kipling, ""The Secret of the Machines""",but remember please the law by which we live we be not build to comprehend a lie rudyard kipling the secret of the machine
1,"It was religious yearning granted hope, it was the holy grail of science.",it be religious yearn grant hope it be the holy grail of science
2,"Our ambitions ran high and low--for a creation myth made real, for a monstrous act of self-love.",our ambition run high and low for a creation myth make real for a monstrous act of self love
3,"As soon as it was feasible, we had no choice but to follow our desires and hang the consequences.",a soon a it be feasible we have no choice but to follow our desire and hang the consequence
4,"In loftiest terms, we aimed to escape our mortality, confront or even replace the Godhead with a perfect self.",in lofty term we aim to escape our mortality confront or even replace the godhead with a perfect self
5,"More practically, we intended to devise an improved, more modern version of ourselves and exult in the joy of invention, the thrill of mastery.",much practically we intend to devise a improve much modern version of ourselves and exult in the joy of invention the thrill of mastery
6,"In the autumn of the twentieth century, it came about at last, the first step towards the fulfilment of an ancient dream, the beginning of the long lesson we would teach ourselves that however complicated we were, however faulty and difficult to describe in even our simplest actions and modes of being, we could be imitated and bettered.",in the autumn of the 20 century it come about at last the ﻿1 step towards the fulfilment of a ancient dream the begin of the long lesson we would teach ourselves that however complicate we be however faulty and difficult to describe in even our simple action and mode of be we can be imitate and better
7,"And I was there as a young man, an early and eager adopter in that chilly dawn.",and i be there a a young man a early and eager adopter in that chilly dawn
8,"But artificial humans were a cliche long before they arrived, so when they did, they seemed to some a disappointment.",but artificial human be a cliche long before they arrive so when they do they seem to some a disappointment
9,"The imagination, fleeter than history, than technological advance, had already rehearsed this future in books, then films and TV dramas, as if human actors, walking with a certain glazed look, phony head movements, some stiffness in the lower back, could prepare us for life with our cousins from the future.",the imagination fleet than history than technological advance have already rehearse this future in book then film and tv drama a if human actor walk with a certain glaze look phony head movement some stiffness in the low back can prepare us for life with our cousin from the future
10,"I was among the optimists, blessed by unexpected funds following my mother's death and the sale of the family home, which turned out to be on a valuable development site.",i be among the optimist bless by unexpected fund follow my mother s death and the sale of the family home which turn out to be on a valuable development site
11,"The first truly viable manufactured human with plausible intelligence and looks, believable motion and shifts of expression, went on sale the week before the Falklands Task Force set off on its hopeless mission.",the ﻿1 truly viable manufacture human with plausible intelligence and look believable motion and shift of expression go on sale the week before the falklands task force set off on its hopeless mission
12,"Adam cost PS86,000.",adam cost ps86
13,I brought him home in a hired van to my unpleasant flat in north Clapham.,i bring him home in a hire van to my unpleasant flat in north clapham
14,"I would made a reckless decision, but I was encouraged by reports that Sir Alan Turing, war hero and presiding genius of the digital age, had taken delivery of the same model.",i would make a reckless decision but i be encourage by report that sir alan turing war hero and preside genius of the digital age have take delivery of the same model
15,Fie probably wanted to have his lab take it apart to examine its workings fully.,fie probably want to have his lab take it apart to examine its working fully
16,"Twelve of this first edition were called Adam, thirteen were called Eve.",twelve of this ﻿1 edition be call adam thirteen be call eve
17,"Corny, everyone agreed, but commercial.",corny everyone agree but commercial
